#,File,Section,Test,Succ?,Fail?,Sign?,Time?,Unkn?,Line,Signum
0,test_complexe.c,"base","init",1,,,,,,
1,test_complexe.c,"base","set_reelle",1,,,,,,
2,test_complexe.c,"base","set_imaginaire",1,,,,,,
3,test_complexe.c,"base","copie",1,,,,,,
4,test_complexe.c,"conjugue","conjugue-nominal-1",1,,,,,,
5,test_complexe.c,"conjugue","conjugue-nominal-2",1,,,,,,
6,test_complexe.c,"conjugue","conjugue-imag-nul",1,,,,,,
7,test_complexe.c,"conjugue","conjugue-disp",1,,,,,,
8,test_complexe.c,"ajouter","ajouter-nominal-1",1,,,,,,
9,test_complexe.c,"ajouter","ajouter-nominal-2",1,,,,,,
10,test_complexe.c,"ajouter","ajouter-zero-1",1,,,,,,
11,test_complexe.c,"ajouter","ajouter-zero-2",1,,,,,,
12,test_complexe.c,"ajouter","ajouter-disp-1",1,,,,,,
13,test_complexe.c,"ajouter","ajouter-disp-2",1,,,,,,
14,test_complexe.c,"soustraire","soustraire-nominal-1",1,,,,,,
15,test_complexe.c,"soustraire","soustraire-nominal-2",1,,,,,,
16,test_complexe.c,"soustraire","soustraire-zero-1",1,,,,,,
17,test_complexe.c,"soustraire","soustraire-zero-2",1,,,,,,
18,test_complexe.c,"soustraire","soustraire-disp-1",1,,,,,,
19,test_complexe.c,"soustraire","soustraire-disp-2",1,,,,,,
20,test_complexe.c,"multiplier","multiplier-nominal-1",1,,,,,,
21,test_complexe.c,"multiplier","multiplier-nominal-2",1,,,,,,
22,test_complexe.c,"multiplier","multiplier-nominal-3",1,,,,,,
23,test_complexe.c,"multiplier","multiplier-reel-1",1,,,,,,
24,test_complexe.c,"multiplier","multiplier-reel-2",1,,,,,,
25,test_complexe.c,"multiplier","multiplier-imaginaire-1",1,,,,,,
26,test_complexe.c,"multiplier","multiplier-imaginaire-2",1,,,,,,
27,test_complexe.c,"multiplier","multiplier-disp-1",1,,,,,,
28,test_complexe.c,"multiplier","multiplier-disp-2",1,,,,,,
29,test_complexe.c,"echelle","echelle-nominal-1",1,,,,,,
30,test_complexe.c,"echelle","echelle-nominal-2",1,,,,,,
31,test_complexe.c,"echelle","echelle-0",1,,,,,,
32,test_complexe.c,"echelle","echelle-disp",1,,,,,,
33,test_complexe.c,"puissance","puissance-nominal-1",1,,,,,,
34,test_complexe.c,"puissance","puissance-nominal-2",1,,,,,,
35,test_complexe.c,"puissance","puissance-0",1,,,,,,
36,test_complexe.c,"puissance","puissance-1",1,,,,,,
37,test_complexe.c,"puissance","puissance-disp",1,,,,,,
38,test_complexe.c,"module","module-carre-nominal-1",1,,,,,,
39,test_complexe.c,"module","module-carre-nominal-2",1,,,,,,
40,test_complexe.c,"module","module-carre-0",1,,,,,,
41,test_complexe.c,"module","module-nominal-1",1,,,,,,
42,test_complexe.c,"module","module-nominal-2",1,,,,,,
43,test_complexe.c,"module","module-0",1,,,,,,
44,test_complexe.c,"argument","argument-nominal-1",1,,,,,,
45,test_complexe.c,"argument","argument-nominal-2",1,,,,,,
46,test_complexe.c,"argument","argument-reel",1,,,,,,
47,test_complexe.c,"argument","argument-reel-negatif",1,,,,,,
48,test_complexe.c,"argument","argument-imaginaire",1,,,,,,
